year,tree,modalidad,area,carrera,campus,codigo,url,index_page
2021,licenciatura,escolarizado,3,CIENCIAS DE LA COMUNICACION,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,30200045,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30200045.html,35.html
2021,licenciatura,abierta,3,CIENCIAS DE LA COMUNICACION,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,30200046,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30200046.html,36.html
2021,licenciatura,escolarizado,3,CIENCIAS POLITICAS Y ADMON PUBLICA,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,30300045,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30300045.html,35.html
2021,licenciatura,abierta,3,CIENCIAS POLITICAS Y ADMON PUBLICA,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,30300046,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30300046.html,36.html
2021,licenciatura,escolarizado,3,CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLAN,30302005,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30302005.html,35.html
2021,licenciatura,escolarizado,3,COMUNICACION,FES ACATLAN,31502005,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/31502005.html,35.html
2021,licenciatura,escolarizado,3,COMUNICACION Y PERIODISMO,FES ARAGON,31604005,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/31604005.html,35.html
2021,licenciatura,escolarizado,3,CONTADURIA,FACULTAD DE CONTADURIA Y ADMINISTRACION,30400065,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30400065.html,35.html
2021,licenciatura,abierta,3,CONTADURIA,FACULTAD DE CONTADURIA Y ADMINISTRACION,30400066,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30400066.html,36.html
2021,licenciatura,escolarizado,3,CONTADURIA,FES CUAUTITLAN,30401005,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30401005.html,35.html
2021,licenciatura,escolarizado,3,DERECHO,FACULTAD DE DERECHO,30500075,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30500075.html,35.html
2021,licenciatura,abierta,3,DERECHO,FACULTAD DE DERECHO,30500076,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30500076.html,36.html
2021,licenciatura,escolarizado,3,DERECHO,FES ACATLAN,30502005,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30502005.html,35.html
2021,licenciatura,abierta,3,DERECHO,FES ACATLAN,30502006,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30502006.html,36.html
2021,licenciatura,escolarizado,3,DERECHO,FES ARAGON,30504005,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30504005.html,35.html
2021,licenciatura,abierta,3,DERECHO,FES ARAGON,30504006,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30504006.html,36.html
2021,licenciatura,escolarizado,3,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,31805005,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/31805005.html,35.html
2021,licenciatura,escolarizado,3,DESARROLLO TERRITORIAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEON,32006005,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/32006005.html,35.html
2021,licenciatura,escolarizado,3,ECONOMIA,FACULTAD DE ECONOMIA,30600085,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30600085.html,35.html
2021,licenciatura,abierta,3,ECONOMIA,FACULTAD DE ECONOMIA,30600086,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30600086.html,36.html
2021,licenciatura,escolarizado,3,ECONOMIA,FES ACATLAN,30602005,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30602005.html,35.html
2021,licenciatura,escolarizado,3,ECONOMIA,FES ARAGON,30604005,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30604005.html,35.html
2021,licenciatura,abierta,3,ECONOMIA,FES ARAGON,30604006,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30604006.html,36.html
2021,licenciatura,escolarizado,3,ECONOMIA INDUSTRIAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEON,31306005,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/31306005.html,35.html
2021,licenciatura,escolarizado,3,ESTUDIOS SOCIALES Y GESTION LOCAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,31707005,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/31707005.html,35.html
2021,licenciatura,escolarizado,3,GEOGRAFIA,FACULTAD DE FILOSOFIA Y LETRAS,30700105,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30700105.html,35.html
2021,licenciatura,abierta,3,GEOGRAFIA,FACULTAD DE FILOSOFIA Y LETRAS,30700106,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30700106.html,36.html
2021,licenciatura,escolarizado,3,GEOGRAFIA APLICADA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,32200175,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/32200175.html,35.html
2021,licenciatura,escolarizado,3,GEOGRAFIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MERIDA,32208005,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/32208005.html,35.html
